 F,      BusId,       PA,       PB,       PC,       P3, XA, XB, XC, X3,       id_A,       id_B,       id_C,       id_3
 0,      42653,     34.0,     34.0,     34.0,    108.0,  9, 10, 11,  9,      76485,      76485,      76485,      76485
 0,    3541113,     47.0,     47.0,     47.0,    145.0,  9, 10, 11,  9,    2412357,    2412357,    2412357,    2412357
 0,     933875,     46.0,     46.0,     46.0,    145.0,  9, 10, 11, 10,    1211120,    1211120,    1211120,    1211120
 0,     620555,     50.0,     50.0,     50.0,    153.0,  9, 10, 11,  9,    1072156,    1072156,    1072156,    1072156
 0,     890016,     47.0,     48.0,     48.0,    148.0,  9, 10, 11,  9,    1187850,    1187850,    1187850,    1187850
 0,     933880,     24.0,     24.0,     24.0,     74.0,  9, 10, 11,  9,    1211122,    1211122,    1211122,    1211122
 0,     933939,     24.0,     23.0,     24.0,     73.0,  9, 10, 11, 10,    1211122,    1211122,    1211122,    1211122
 0,     934084,     47.0,     47.0,     47.0,    147.0,  9, 10, 11, 10,    1211202,    1211202,    1211202,    1211202
 0,    1152361,     49.0,     49.0,     49.0,    152.0,  9, 10, 11,  9,    1366122,    1366122,    1366122,    1366122
 0,    1299211,     55.0,     53.0,     54.0,    165.0,  9, 10, 11, 10,    1596555,    1596555,    1596555,    1596555
 0,    1474220,     64.0,     65.0,     65.0,    195.0,  9, 10, 11,  9,    2702180,    2702180,    2702180,    2702180
 0,    1556417,     54.0,     52.0,     53.0,    163.0,  9, 10, 11, 10,      78163,      78163,    1596555,    1596555
 0,     620442,     49.0,     49.0,     49.0,    152.0,  9, 10, 11,  9,    1072132,    1072132,    1072132,    1072132
 0,     620437,     48.0,     45.0,     47.0,    140.0,  9, 10, 11, 10,    1072131,    1072131,    1072131,    1072131
 0,      42646,     61.0,     61.0,     62.0,    191.0,  9, 10, 11,  9,      76475,      76475,      76475,      76475
 0,      42647,     18.0,     18.0,     18.0,     55.0,  9, 10, 11,  9,      76477,      76477,      76477,      76477
 0,      43441,     17.0,     17.0,     17.0,     55.0,  9, 10, 11,  9,      78184,      78184,      78184,      78184
 0,      42650,     34.0,     34.0,     34.0,    108.0,  9, 10, 11, 11,      76481,      76481,      76481,      76481
 0,      43440,     17.0,     17.0,     17.0,     55.0,  9, 10, 11,  9,      78182,      78182,      78182,      78182
 0,      42651,     18.0,     18.0,     18.0,     55.0,  9, 10, 11,  9,      76482,      76482,      76482,      76482
 0,    2524792,     17.0,     18.0,     18.0,     55.0,  9, 10, 11,  9,      76482,      76482,      76482,      76482
 0,      43438,     17.0,     17.0,     17.0,     54.0,  9, 10, 11,  9,      78177,      78177,      78177,      78177
 0,    2524801,     42.0,     42.0,     42.0,    135.0,  9, 10, 11, 10,      78180,      78180,      78180,      78180
 0,      43437,     18.0,     18.0,     18.0,     55.0,  9, 10, 11,  9,      78172,      78172,      78172,      78172
 0,      43436,     17.0,     17.0,     17.0,     55.0,  9, 10, 11,  9,      78172,      78172,      78172,      78172
 0,      42653,     34.0,     34.0,     34.0,    108.0,  9, 10, 11,  9,      76485,      76485,      76485,      76485
 0,      42653,     34.0,     34.0,     34.0,    108.0,  9, 10, 11,  9,      76485,      76485,      76485,      76485
 0,      42653,     34.0,     34.0,     34.0,    108.0,  9, 10, 11,  9,      76485,      76485,      76485,      76485
 0,    3541114,     47.0,     46.0,     46.0,    145.0,  9, 10, 11,  9,    2412357,    2412357,    2412357,    2412357
 0,    2597284,     50.0,     50.0,     50.0,    153.0,  9, 10, 11,  9,    2413150,    2413150,    2413150,    2413150
 0,    3380931,     38.0,     38.0,     38.0,    118.0,  9, 10, 11,  9,    2721217,    2721217,    2721217,    2721217
 1,      42653,     34.0,     34.0,     34.0,    108.0,  9, 10, 11,  9,      76485,      76485,      76485,      76485
 1,    3541113,     46.0,     46.0,     46.0,    144.0,  9, 10, 11,  9,    2412357,    2412357,    2412357,    2412357
 1,     933875,     47.0,     47.0,     47.0,    146.0,  9, 10, 11, 10,    1211120,    1211120,    1211120,    1211120
 1,     620555,     50.0,     50.0,     50.0,    153.0,  9, 10, 11, 10,    1072156,    1072156,    1072156,    1072156
 1,     890016,     48.0,     48.0,     48.0,    150.0,  9, 10, 11,  9,    1187850,    1187850,    1187850,    1187850
 1,     933880,     24.0,     24.0,     24.0,     74.0,  9, 10, 11,  9,    1211122,    1211122,    1211122,    1211122
 1,     933939,     24.0,     23.0,     24.0,     73.0,  9, 10, 11, 10,    1211122,    1211122,    1211122,    1211122
 1,     934084,     47.0,     47.0,     47.0,    149.0,  9, 10, 11,  9,    1211202,    1211202,    1211202,    1211202
 1,    1152361,     49.0,     49.0,     49.0,    152.0,  9, 10, 11,  9,    1366122,    1366122,    1366122,    1366122
 1,    1299211,     55.0,     54.0,     55.0,    168.0,  9, 10, 11, 10,    1596555,    1596555,    1596555,    1596555
