 F,      BusId,       PA,       PB,       PC,       P3, XA, XB, XC, X3,       id_A,       id_B,       id_C,       id_3
 0,    1345617,     47.0,     47.0,     47.0,    150.0,  9, 10, 11,  9,    1465230,    1465230,    1465230,    1465230
 0,    2579732,     62.0,     62.0,     62.0,    190.0,  9, 10, 11, 10,    1465002,    1465002,    1465002,    1465002
 0,    1351053,     64.0,     63.0,     63.0,    193.0,  9, 10, 11, 10,    1465002,    1465002,    1465002,    1465002
 0,    1351794,     22.0,     22.0,     22.0,     72.0,  9, 10, 11,  9,    1469146,    1469146,    1469146,    1469146
 0,    2189396,     13.0,     13.0,     12.0,     39.0,  9, 10, 11, 11,    1874528,    1874528,    1874528,    1874528
 0,    2189391,     13.0,     13.0,     12.0,     39.0,  9, 10, 11, 11,    1874528,    1874528,    1874528,    1874528
 0,    2189579,     24.0,     24.0,     24.0,     73.0,  9, 10, 11,  9,    2148234,    2148234,    2148234,    2148234
 0,    2563702,     64.0,     63.0,     63.0,    193.0,  9, 10, 11, 10,    1465002,    1465002,    1465002,    1465002
 1,    1345617,     47.0,     47.0,     47.0,    150.0,  9, 10, 11,  9,    1465230,    1465230,    1465230,    1465230
 1,    2579732,     62.0,     62.0,     62.0,    191.0,  9, 10, 11, 10,    1465002,    1465002,    1465002,    1465002
 1,    1351053,     64.0,     64.0,     64.0,    194.0,  9, 10, 11, 10,    1465002,    1465002,    1465002,    1465002
 1,    1351794,     23.0,     23.0,     23.0,     72.0,  9, 10, 11,  9,    1469146,    1469146,    1469146,    1469146
 1,    2189396,     14.0,     13.0,     13.0,     41.0,  9, 10, 11, 10,    1874528,    1874528,    1874528,    1874528
 1,    2189391,     14.0,     13.0,     13.0,     40.0,  9, 10, 11, 11,    1874528,    1874528,    1874528,    1874528
 1,    2189579,     24.0,     24.0,     24.0,     73.0,  9, 10, 11,  9,    2148234,    2148234,    2148234,    2148234
 1,    2563702,     64.0,     64.0,     64.0,    194.0,  9, 10, 11, 10,    1465002,    1465002,    1465002,    1465002
 2,    1345617,     47.0,     47.0,     47.0,    150.0,  9, 10, 11,  9,    1465230,    1465230,    1465230,    1465230
 2,    2579732,     63.0,     62.0,     62.0,    191.0,  9, 10, 11, 11,    1465002,    1465002,    1465002,    1465002
 2,    1351053,     65.0,     64.0,     64.0,    194.0,  9, 10, 11, 10,    1465002,    1465002,    1465002,    1465002
 2,    1351794,     23.0,     23.0,     23.0,     72.0,  9, 10, 11,  9,    1469146,    1469146,    1469146,    1469146
 2,    2189396,     15.0,     14.0,     13.0,     41.0,  9, 10, 11, 11,    1874528,    1874528,    1874528,    1874528
 2,    2189391,     15.0,     14.0,     13.0,     41.0,  9, 10, 11, 11,    1874528,    1874528,    1874528,    1874528
 2,    2189579,     24.0,     24.0,     24.0,     73.0,  9, 10, 11,  9,    2148234,    2148234,    2148234,    2148234
 2,    2563702,     65.0,     64.0,     64.0,    194.0,  9, 10, 11, 10,    1465002,    1465002,    1465002,    1465002
 3,    1345617,     47.0,     47.0,     47.0,    150.0,  9, 10, 11,  9,    1465230,    1465230,    1465230,    1465230
 3,    2579732,     63.0,     62.0,     62.0,    191.0,  9, 10, 11, 11,    1465002,    1465002,    1465002,    1465002
 3,    1351053,     65.0,     64.0,     64.0,    194.0,  9, 10, 11, 11,    1465002,    1465002,    1465002,    1465002
 3,    1351794,     23.0,     23.0,     23.0,     72.0,  9, 10, 11,  9,    1469146,    1469146,    1469146,    1469146
 3,    2189396,     15.0,     14.0,     13.0,     40.0,  9, 10, 11, 11,    1874528,    1874528,    1874528,    1874528
 3,    2189391,     14.0,     14.0,     13.0,     40.0,  9, 10, 11, 11,    1874528,    1874528,    1874528,    1874528
 3,    2189579,     24.0,     24.0,     24.0,     73.0,  9, 10, 11,  9,    2148234,    2148234,    2148234,    2148234
 3,    2563702,     65.0,     64.0,     64.0,    194.0,  9, 10, 11, 11,    1465002,    1465002,    1465002,    1465002
 4,    1345617,     47.0,     47.0,     47.0,    150.0,  9, 10, 11,  9,    1465230,    1465230,    1465230,    1465230
 4,    2579732,     63.0,     62.0,     62.0,    190.0,  9, 10, 11, 11,    1465002,    1465002,    1465002,    1465002
 4,    1351053,     65.0,     64.0,     63.0,    193.0,  9, 10, 11, 11,    1465002,    1465002,    1465002,    1465002
 4,    1351794,     23.0,     23.0,     23.0,     72.0,  9, 10, 11,  9,    1469146,    1469146,    1469146,    1469146
 4,    2189396,     14.0,     14.0,     13.0,     42.0,  9, 10, 11, 11,    1874528,    1874528,    1874528,    1874528
