 F,      BusId,       PA,       PB,       PC,       P3, XA, XB, XC, X3,       id_A,       id_B,       id_C,       id_3
 0,     709145,     57.0,     56.0,     58.0,    176.0,  9, 10, 11, 10,    1148416,    1114273,    1114273,    1148416
 0,     709150,     49.0,     49.0,     49.0,    152.0,  9, 10, 11,  9,    1114275,    1114275,    1114275,    1114275
 0,     788745,     50.0,     49.0,     50.0,    153.0,  9, 10, 11, 10,    1148425,    1148425,    1148425,    1148425
 0,    1237683,     47.0,     48.0,     47.0,    144.0,  9, 10, 11,  9,    1405105,    1405105,    1405105,    1405105
 0,    1237688,     47.0,     47.0,     48.0,    146.0,  9, 10, 11, 10,    1405107,    1405107,    1405107,    1405107
 0,    1237698,     45.0,     47.0,     47.0,    141.0,  9, 10, 11,  9,    1405110,    1405110,    1405110,    1405110
 0,    2576546,     57.0,     58.0,     57.0,    179.0,  9, 10, 11,  9,    1405148,    1405148,    1405148,    1405148
 0,    1546417,     45.0,     46.0,     45.0,    145.0,  9, 10, 11, 11,    1632874,    1632874,    1632874,    1632874
 0,    2576569,     55.0,     56.0,     55.0,    177.0,  9, 10, 11,  9,    1405148,    1405148,    1405148,    1405148
 0,    2577003,     46.0,     47.0,     47.0,    150.0,  1,  2,  3,  1,    1237785,    1237785,    1237785,    1237785
 0,    2577042,     57.0,     58.0,     57.0,    179.0,  9, 10, 11,  9,    1405148,    1405148,    1405148,    1405148
 0,    2577063,     56.0,     57.0,     56.0,    178.0,  9, 10, 11,  9,    1405148,    1405148,    1405148,    1405148
 0,    1237855,     67.0,     65.0,     67.0,    203.0,  9, 10, 11, 10,    1405169,    1405169,    1405169,    1405169
 0,    2451248,     65.0,     63.0,     65.0,    200.0,  9, 10, 11, 10,    1405169,    1405169,    1405169,    1405169
 0,    2577220,     64.0,     62.0,     64.0,    198.0,  9, 10, 11, 10,    1405169,    1405169,    1405169,    1405169
 0,    2577250,     68.0,     66.0,     68.0,    203.0,  9, 10, 11, 10,    1405169,    1405169,    1405169,    1405169
 0,    2577271,     67.0,     65.0,     67.0,    202.0,  9, 10, 11, 10,    1405169,    1405169,    1405169,    1405169
 0,    2577281,     66.0,     64.0,     66.0,    201.0,  9, 10, 11, 10,    1405169,    1405169,    1405169,    1405169
 0,    2577290,     64.0,     62.0,     64.0,    198.0,  9, 10, 11, 10,    1405169,    1405169,    1405169,    1405169
 0,    2577311,     63.0,     61.0,     63.0,    196.0,  1, 10,  3, 10,    2451546,    1405169,    2451546,    1405169
 0,    1238008,     48.0,     48.0,     48.0,    145.0,  9, 10, 11,  9,    1405201,    1405201,    1405201,    1405201
 0,    1238013,     49.0,     49.0,     49.0,    148.0,  9, 10, 11, 10,    1405202,    1405202,    1405202,    1405202
 0,    1238028,     48.0,     48.0,     48.0,    147.0,  9, 10, 11,  9,    1405206,    1405206,    1405206,    1405206
 0,    1238038,     48.0,     48.0,     47.0,    146.0,  9, 10, 11, 11,    1405209,    1405209,    1405209,    1405209
 0,    1238090,     50.0,     49.0,     50.0,    153.0,  9, 10, 11,  9,    1405233,    1405233,    1405233,    1405233
 0,    1238095,     49.0,     49.0,     49.0,    151.0,  9, 10, 11, 11,    1405234,    1405234,    1405234,    1405234
 0,    1238100,     49.0,     49.0,     49.0,    151.0,  9, 10, 11, 10,    1405235,    1405235,    1405235,    1405235
 0,    1238147,     47.0,     46.0,     46.0,    145.0,  9, 10, 11, 10,    1405246,    1405246,    1405246,    1405246
 0,    1238184,     50.0,     50.0,     50.0,    153.0,  9, 10, 11, 10,    1405261,    1405261,    1405261,    1405261
 0,    2577953,     72.0,     72.0,     71.0,    215.0,  9, 10, 11, 11,    2403590,    2403590,    2403590,    2403590
 0,    2578028,     70.0,     70.0,     69.0,    213.0,  9, 10, 11, 11,    2403590,    2403590,    2403590,    2403590
 0,    2578058,     70.0,     69.0,     69.0,    212.0,  9, 10, 11, 11,    2403590,    2403590,    2403590,    2403590
 0,    2578357,     50.0,     50.0,     50.0,    160.0,  1, 10, 11,  9,    1237805,    1405316,    1405316,    1405316
 0,    2578365,     50.0,     51.0,     51.0,    161.0,  9, 10, 11,  9,    1405316,    1405316,    1405316,    1405316
 0,    2578405,     46.0,     46.0,     46.0,    148.0,  1,  2,  3,  1,    1237800,    1237800,    1237800,    1237800
 0,    2578413,     43.0,     44.0,     44.0,    140.0,  1,  2,  3,  1,    1237800,    1237800,    1237800,    1237800
 0,    2578429,     41.0,     42.0,     41.0,    133.0,  1,  2,  3,  1,    1237800,    1237800,    1237800,    1237800
 0,    2578437,     39.0,     40.0,     40.0,    128.0,  1,  2,  3,  1,    1237800,    1237800,    1237800,    1237800
 0,    1363948,     58.0,     59.0,     60.0,    182.0,  9, 10, 11,  9,    1405134,    1405134,    1405134,    1405134
 0,    2579380,     39.0,     39.0,     39.0,    126.0,  1,  2,  3,  1,    1237800,    1237800,    1237800,    1237800
