 F,      BusId,       PA,       PB,       PC,       P3, XA, XB, XC, X3,       id_A,       id_B,       id_C,       id_3
 0,    3194210,     24.0,     24.0,     24.0,     74.0,  9, 10, 11,  9,    2663240,    2663240,    2663240,    2663240
 0,     620577,     49.0,     49.0,     49.0,    150.0,  9, 10, 11, 10,    1072159,    1072159,    1072159,    1072159
 0,     620587,     50.0,     50.0,     50.0,    153.0,  9, 10, 11,  9,    1072162,    1072162,    1072162,    1072162
 0,    1474215,     57.0,     56.0,     56.0,    177.0,  9, 10, 11, 11,    1072161,    1072161,    1072161,    1072161
 0,    1474225,     56.0,     56.0,     56.0,    176.0,  9, 10, 11, 11,    1072161,    1072158,    1072158,    1072161
 0,    3324072,     58.0,     57.0,     57.0,    178.0,  9, 10, 11, 11,    1072158,    1072158,    1072158,    1072161
 0,    2086998,     62.0,     62.0,     62.0,    193.0,  9, 10, 11,  9,    2076037,    2076037,    2076037,    2076037
 0,    2087053,     65.0,     64.0,     65.0,    196.0,  9, 10, 11,  9,    2076052,    2076052,    2076052,    2076052
 0,    2500531,     50.0,     48.0,     50.0,    146.0,  9, 10, 11, 10,    2355012,    2355012,    2355012,    2355012
 0,    2537209,     23.0,     23.0,     23.0,     72.0,  9, 10, 11,  9,    2381211,    2381211,    2381211,    2381211
 0,    3194205,     46.0,     46.0,     46.0,    147.0,  9, 10, 11,  9,    2663230,    2663230,    2663230,    2663230
 0,    3214156,     23.0,     23.0,     23.0,     73.0,  9, 10, 11,  9,    2663240,    2663240,    2663240,    2663240
 1,    3194210,     24.0,     24.0,     24.0,     74.0,  9, 10, 11,  9,    2663240,    2663240,    2663240,    2663240
 1,     620577,     49.0,     49.0,     49.0,    151.0,  9, 10, 11, 11,    1072159,    1072159,    1072159,    1072159
 1,     620587,     50.0,     50.0,     50.0,    154.0,  9, 10, 11,  9,    1072162,    1072162,    1072162,    1072162
 1,    1474215,     57.0,     57.0,     56.0,    177.0,  9, 10, 11, 11,    1072161,    1072161,    1072161,    1072161
 1,    1474225,     57.0,     57.0,     56.0,    176.0,  9, 10, 11, 11,    1072158,    1072158,    1072158,    1072161
 1,    3324072,     58.0,     58.0,     57.0,    178.0,  9, 10, 11, 11,    1072158,    1072158,    1072158,    1072161
 1,    2086998,     62.0,     62.0,     62.0,    193.0,  9, 10, 11,  9,    2076037,    2076037,    2076037,    2076037
 1,    2087053,     64.0,     65.0,     65.0,    195.0,  9, 10, 11,  9,    2076052,    2076052,    2076052,    2076052
 1,    2500531,     50.0,     48.0,     50.0,    146.0,  9, 10, 11, 10,    2355012,    2355012,    2355012,    2355012
 1,    2537209,     23.0,     23.0,     23.0,     72.0,  9, 10, 11,  9,    2381211,    2381211,    2381211,    2381211
 1,    3194205,     47.0,     47.0,     47.0,    147.0,  9, 10, 11,  9,    2663230,    2663230,    2663230,    2663230
 1,    3214156,     23.0,     23.0,     23.0,     73.0,  9, 10, 11,  9,    2663240,    2663240,    2663240,    2663240
 2,    3194210,     24.0,     24.0,     24.0,     74.0,  9, 10, 11,  9,    2663240,    2663240,    2663240,    2663240
 2,     620577,     50.0,     50.0,     49.0,    151.0,  9, 10, 11, 11,    1072159,    1072159,    1072159,    1072159
 2,     620587,     50.0,     50.0,     50.0,    154.0,  9, 10, 11,  9,    1072162,    1072162,    1072162,    1072162
 2,    1474215,     57.0,     58.0,     57.0,    179.0,  9, 10, 11, 11,    1072161,    1072158,    1072158,    1072161
 2,    1474225,     57.0,     57.0,     56.0,    178.0,  9, 10, 11, 11,    1072158,    1072158,    1072161,    1072161
 2,    3324072,     58.0,     58.0,     57.0,    179.0,  9, 10, 11, 11,    1072161,    1072161,    1072161,    1072161
 2,    2086998,     62.0,     62.0,     62.0,    193.0,  9, 10, 11,  9,    2076037,    2076037,    2076037,    2076037
 2,    2087053,     64.0,     65.0,     65.0,    196.0,  9, 10, 11,  9,    2076052,    2076052,    2076052,    2076052
 2,    2500531,     50.0,     48.0,     50.0,    146.0,  9, 10, 11, 10,    2355012,    2355012,    2355012,    2355012
 2,    2537209,     23.0,     23.0,     23.0,     72.0,  9, 10, 11,  9,    2381211,    2381211,    2381211,    2381211
 2,    3194205,     47.0,     47.0,     47.0,    147.0,  9, 10, 11,  9,    2663230,    2663230,    2663230,    2663230
 2,    3214156,     23.0,     23.0,     23.0,     73.0,  9, 10, 11,  9,    2663240,    2663240,    2663240,    2663240
 3,    3194210,     24.0,     23.0,     24.0,     74.0,  9, 12, 11, 10,    2663240,    2663240,    2663240,    2663240
 3,     620577,     50.0,     50.0,     49.0,    152.0,  9, 10, 11, 11,    1072159,    1072159,    1072159,    1072159
 3,     620587,     50.0,     50.0,     50.0,    154.0,  9, 10, 11,  9,    1072162,    1072162,    1072162,    1072162
 3,    1474215,     57.0,     57.0,     57.0,    180.0,  9, 10, 11, 11,    1072161,    1072161,    1072161,    1072161
 3,    1474225,     57.0,     57.0,     56.0,    179.0,  9, 10, 11, 11,    1072158,    1072158,    1072161,    1072161
 3,    3324072,     58.0,     58.0,     58.0,    181.0,  9, 10, 11,  9,    1072158,    1072158,    1072158,    1072161
