 F,      BusId,       PA,       PB,       PC,       P3, XA, XB, XC, X3,       id_A,       id_B,       id_C,       id_3
 0,    1327284,     48.0,     48.0,     48.0,    151.0,  9, 10, 11,  9,    1454550,    1454550,    1454550,    1454550
 0,    1476197,     23.0,     23.0,     23.0,     73.0,  9, 10, 11,  9,    1598853,    1598853,    1598853,    1598853
 0,    1272511,     18.0,     18.0,     18.0,     59.0,  1,  2,  3,  2,    1272511,    1272511,    1272511,    1272511
 0,     455239,     45.0,     45.0,     45.0,    143.0,  9, 10, 11, 10,     892789,     892789,     892789,     892789
 0,     231563,     48.0,     47.0,     48.0,    149.0,  9, 10, 11, 10,    1044648,    1044648,    1044648,    1044648
 0,    1118829,     50.0,     50.0,     50.0,    153.0,  9, 10, 11,  9,    1344569,    1344569,    1344569,    1344569
 0,    1118839,     50.0,     50.0,     50.0,    153.0,  9, 10, 11, 10,    1344570,    1344570,    1344570,    1344570
 0,     525317,     48.0,     48.0,     48.0,    150.0,  9, 10, 11, 11,    1049719,    1049719,    1049719,    1049719
 0,    1486648,     51.0,     51.0,     51.0,    161.0,  9, 10, 11, 11,    1606187,    1606187,    1606187,    1606187
 0,    2579513,     38.0,     38.0,     38.0,    122.0,  1,  2,  3,  1,      41532,      41532,      41532,      41532
 0,    1272360,     24.0,     26.0,     24.0,     77.0,  1,  2,  3,  1,    1272003,    1272360,    1272360,    1272360
 0,    1272532,     18.0,     18.0,     18.0,     58.0,  1,  2,  3,  3,    1272532,    1272532,    1272532,    1272532
 0,    1272537,     16.0,     16.0,     16.0,     53.0,  1,  2,  3,  1,    1272537,    1272537,    1272537,    1272537
 0,    1272551,     10.0,     10.0,     10.0,     32.0,  1,  2,  3,  1,    1272551,    1272551,    1272551,    1272551
 0,    1272556,      8.0,      8.0,      8.0,     28.0,  1,  2,  3,  1,    1272556,    1272556,    1272556,    1272556
 0,    1415793,     47.0,     47.0,     48.0,    149.0,  9, 10, 11,  9,    1533786,    1533786,    1533786,    1533786
 0,    1476151,     45.0,     45.0,     45.0,    143.0,  9, 10, 11,  9,    1598831,    1598831,    1598831,    1598831
 0,    1486643,     50.0,     50.0,     50.0,    153.0,  9, 10, 11,  9,    1606185,    1606185,    1606185,    1606185
 0,    2528541,     24.0,     24.0,     24.0,     74.0,  9, 10, 11,  9,    2375072,    2375072,    2375072,    2375072
 0,    2528505,     50.0,     53.0,     51.0,    152.0,  9, 10, 11,  9,     904855,     904855,     904855,     904855
 0,    2528500,     49.0,     53.0,     50.0,    151.0,  9, 10, 11,  9,     904855,     904855,     904855,     904855
 0,    2528536,     48.0,     50.0,     50.0,    150.0,  9, 10, 11,  9,     904855,    2375071,     904855,     904855
 0,    2528552,     47.0,     48.0,     47.0,    146.0,  9, 10, 11,  9,     904855,    2375078,    2375078,    2375078
 0,    2528560,     46.0,     48.0,     47.0,    146.0,  9, 10, 11,  9,     904855,    2375083,     904855,     904855
 0,    2528579,     45.0,     47.0,     46.0,    144.0,  9, 10, 11,  9,     904855,    2375092,     904855,     904855
 0,    2528595,     44.0,     47.0,     45.0,    143.0,  1, 10,  3,  1,    1272003,      74327,    1272003,    1272360
 0,    2537109,     25.0,     28.0,     26.0,     82.0,  1,  2,  3,  1,    1272003,    1272003,    1272003,    1272360
 0,    2537117,     28.0,     31.0,     29.0,     91.0,  1,  2,  3,  1,    1272003,    1272003,    1272003,    1272360
 0,    2537125,     29.0,     33.0,     30.0,     96.0,  1,  2,  3,  1,    1272360,    1272003,    1272003,    1272003
 0,    2537134,     31.0,     35.0,     32.0,    102.0,  1,  2,  3,  1,    1272360,    1272003,    1272003,    1272360
 0,    2537142,     32.0,     36.0,     33.0,    105.0,  1,  2,  3,  1,    1272003,    1272003,    1272003,    1272003
 0,    2537151,     35.0,     39.0,     36.0,    114.0,  1,  2,  3,  1,    1272003,    1272003,    1272003,    1272003
 0,    2537159,     37.0,     41.0,     38.0,    120.0,  1,  2,  3,  1,    1272003,    1272003,    1272003,    1272360
 0,    2538969,     17.0,     17.0,     17.0,     54.0,  9, 10, 11,  9,    2382148,    2382148,    2382148,    2382148
 0,    2539108,     22.0,     22.0,     22.0,     72.0,  9, 10, 11,  9,    2382245,    2382245,    2382245,    2382245
 0,    2597348,     23.0,     23.0,     23.0,     75.0,  1,  2,  3,  1,    1272527,    1272527,    1272527,    1272527
 0,    3988692,     10.0,     10.0,     10.0,     34.0,  1,  2,  3,  3,    3988692,    3988692,    3988692,    3988692
 1,    1327284,     48.0,     48.0,     48.0,    151.0,  9, 10, 11,  9,    1454550,    1454550,    1454550,    1454550
 1,    1476197,     23.0,     23.0,     23.0,     73.0,  9, 10, 11,  9,    1598853,    1598853,    1598853,    1598853
 1,    1272511,     18.0,     18.0,     18.0,     59.0,  1,  2,  3,  1,    1272511,    1272511,    1272511,    1272511
 1,     455239,     45.0,     45.0,     45.0,    143.0,  9, 10, 11,  9,     892789,     892789,     892789,     892789
 1,     231563,     48.0,     47.0,     47.0,    149.0,  9, 10, 11,  9,    1044648,    1044648,    1044648,    1044648
 1,    1118829,     50.0,     50.0,     50.0,    153.0,  9, 10, 11,  9,    1344569,    1344569,    1344569,    1344569
 1,    1118839,     50.0,     50.0,     49.0,    153.0,  9, 10, 11,  9,    1344570,    1344570,    1344570,    1344570
 1,     525317,     48.0,     46.0,     48.0,    145.0,  9, 10, 11, 10,    1049719,    1049719,    1049719,    1049719
 1,    1486648,     52.0,     51.0,     51.0,    162.0,  9, 10, 11,  9,    1606187,    1606187,    1606187,    1606187
 1,    2579513,     38.0,     38.0,     38.0,    122.0,  1,  2,  3,  1,      41532,      41532,      41532,      41532
 1,    1272360,     25.0,     26.0,     26.0,     80.0,  1,  2,  3,  1,    1272003,    1272360,    1272003,    1272360
 1,    1272532,     18.0,     18.0,     18.0,     58.0,  1,  2,  3,  3,    1272532,    1272532,    1272532,    1272532
 1,    1272537,     16.0,     16.0,     16.0,     53.0,  1,  2,  3,  1,    1272537,    1272537,    1272537,    1272537
 1,    1272551,     10.0,     10.0,     10.0,     32.0,  1,  2,  3,  1,    1272551,    1272551,    1272551,    1272551
 1,    1272556,      8.0,      8.0,      8.0,     28.0,  1,  2,  3,  1,    1272556,    1272556,    1272556,    1272556
 1,    1415793,     47.0,     48.0,     48.0,    149.0,  9, 10, 11,  9,    1533786,    1533786,    1533786,    1533786
 1,    1476151,     45.0,     45.0,     45.0,    143.0,  9, 10, 11,  9,    1598831,    1598831,    1598831,    1598831
 1,    1486643,     49.0,     50.0,     50.0,    152.0,  9, 10, 11,  9,    1606185,    1606185,    1606185,    1606185
 1,    2528541,     24.0,     24.0,     24.0,     74.0,  9, 10, 11,  9,    2375072,    2375072,    2375072,    2375072
 1,    2528505,     52.0,     54.0,     53.0,    158.0,  9, 10, 11,  9,     904855,     904855,     904855,     904855
 1,    2528500,     51.0,     54.0,     53.0,    157.0,  9, 10, 11,  9,     904855,     904855,     904855,     904855
 1,    2528536,     50.0,     50.0,     50.0,    153.0,  9, 10, 11,  9,    2375071,    2375071,    2375071,    2375071
 1,    2528552,     48.0,     48.0,     48.0,    149.0,  9, 10, 11,  9,    2375078,    2375078,    2375078,    2375078
 1,    2528560,     48.0,     48.0,     48.0,    150.0,  9, 10, 11,  9,     904855,    2375083,    2375083,    2375083
 1,    2528579,     46.0,     46.0,     46.0,    147.0,  9, 10, 11,  9,    2375092,    2375092,    2375092,    2375092
 1,    2528595,     45.0,     47.0,     47.0,    148.0,  1, 10, 11,  1,    1272360,      74327,      74327,    1272360
 1,    2537109,     26.0,     28.0,     28.0,     86.0,  1,  2,  3,  1,    1272003,    1272003,    1272003,    1272003
 1,    2537117,     29.0,     31.0,     31.0,     95.0,  1,  2,  3,  1,    1272003,    1272360,    1272003,    1272003
 1,    2537125,     31.0,     33.0,     32.0,     99.0,  1,  2,  3,  1,    1272003,    1272003,    1272003,    1272360
 1,    2537134,     33.0,     35.0,     34.0,    106.0,  1,  2,  3,  1,    1272003,    1272003,    1272003,    1272003
