 F,      BusId,       PA,       PB,       PC,       P3, XA, XB, XC, X3,       id_A,       id_B,       id_C,       id_3
 0,    2579489,     43.0,     41.0,     44.0,    133.0,  1,  2,  3,  2,      41634,      41634,      41634,      41634
 0,    2579503,     46.0,     44.0,     46.0,    142.0,  1,  2,  3,  2,      41634,      41634,      41634,      41634
 0,     689554,     22.0,     22.0,     23.0,     71.0,  9, 10, 11,  9,    2776117,    2776117,    2776117,    2776117
 0,     689549,     22.0,     22.0,     22.0,     71.0,  9, 10, 11,  9,    2776117,    2776117,    2776117,    2776117
 0,     954350,     50.0,     50.0,     50.0,    160.0,  1,  2,  3,  9,     954350,     954350,     954350,    2181484
 0,    1570656,     23.0,     23.0,     23.0,     73.0,  9, 10, 11,  9,    1673020,    1673020,    1673020,    1673020
 0,    1812368,     65.0,     65.0,     65.0,    198.0,  9, 10, 11,  9,    1866140,    1866140,    1866140,    1866140
 0,    1812388,     24.0,     24.0,     24.0,     74.0,  9, 10, 11,  9,    1866154,    1866154,    1866154,    1866154
 0,    1812393,     61.0,     61.0,     61.0,    189.0,  9, 10, 11, 10,    1866152,    1866152,    1866152,    1866152
 0,    1812408,     60.0,     60.0,     60.0,    188.0,  9, 10, 11,  9,    1866152,    1866152,    1866152,    1866152
 0,    1812432,     61.0,     61.0,     62.0,    192.0,  9, 10, 11,  9,    1866178,    1866178,    1866178,    1866178
 0,    1812442,     61.0,     61.0,     61.0,    190.0,  9, 10, 11, 11,    1866181,    1866181,    1866181,    1866181
 0,    1812462,     65.0,     65.0,     65.0,    197.0,  9, 10, 11,  9,    1866186,    1866186,    1866186,    1866186
 0,    1812457,     64.0,     64.0,     65.0,    194.0,  9, 10, 11, 10,    1866185,    1866185,    1866185,    1866185
 0,    1819188,     64.0,     65.0,     65.0,    195.0,  9, 10, 11,  9,    1874094,    1874094,    1874094,    1874094
 0,    1856564,     23.0,     23.0,     22.0,     70.0,  9, 10, 11, 11,    1902084,    1902084,    1902084,    1902084
 0,    2578336,     41.0,     41.0,     42.0,    135.0,  1,  2,  3,  1,    1903608,    1903608,    1903608,    1903608
 0,    1903608,     31.0,     31.0,     31.0,    101.0,  1,  2,  3,  1,    1903608,    1903608,    1903608,    1903608
