 F,      BusId,       PA,       PB,       PC,       P3, XA, XB, XC, X3,       id_A,       id_B,       id_C,       id_3
 0,    1345608,     62.0,     62.0,     62.0,    191.0,  9, 10, 11, 11,    1465227,    1465227,    1465227,    1465227
 0,    1351934,     22.0,     21.0,     21.0,     69.0,  9, 10, 11,  9,    1469329,    1469329,    1469329,    1469329
 0,    1475743,     24.0,     18.0,     23.0,     59.0,  1,  2,  3,  2,    1475743,    1475743,    1475743,    1475743
 0,    1475753,     22.0,     16.0,     21.0,     53.0,  1,  2,  3,  2,    1306026,    1475753,    1306026,    1475753
 0,    1475822,     26.0,     25.0,     25.0,     82.0,  1,  2,  3,  2,    1306019,    1306019,    1475822,    1475812
 0,    1475827,     26.0,     25.0,     25.0,     82.0,  1,  2,  3,  2,    1306019,    1475817,    1475827,    1475817
 0,    2270643,     32.0,     24.0,     30.0,     79.0,  1,  2,  3,  2,    2270643,    2270643,    2270643,    2270643
 0,    2270627,     34.0,     27.0,     33.0,     88.0,  1,  2,  3,  2,    2270627,    1306026,    2270627,    2270627
 0,    1510937,     39.0,     30.0,     38.0,     98.0,  1,  2,  3,  2,    1306026,    1306026,    1306026,    1306026
 0,    2039791,     57.0,     51.0,     56.0,    159.0,  9, 10, 11, 10,    1465256,    1465256,    1465256,    1465256
 0,    2039796,     57.0,     51.0,     56.0,    159.0,  9, 10, 11, 10,    1465256,    1465256,    1465256,    1465256
 0,    2039816,     58.0,     57.0,     58.0,    182.0,  9, 10, 11, 10,    1440541,    1440541,    1440541,    1440541
 0,    2039811,     58.0,     57.0,     58.0,    182.0,  9, 10, 11, 10,    1440541,    1440541,    1440541,    1440541
 0,    2038597,     62.0,     62.0,     61.0,    191.0,  9, 10, 11, 10,    1465227,    1465227,    1465227,    1465227
 0,    2038617,     62.0,     62.0,     62.0,    191.0,  9, 10, 11, 11,    1465227,    1465227,    1465227,    1465227
 0,    2038652,     62.0,     63.0,     63.0,    193.0,  9, 10, 11,  9,    2037660,    2037660,    2037660,    2037660
 0,    2038662,     62.0,     63.0,     63.0,    193.0,  9, 10, 11,  9,    2037660,    2037660,    2037660,    2037660
 0,    2038676,     63.0,     63.0,     64.0,    194.0,  9, 10, 11,  9,    2037660,    2037660,    2037660,    2037660
 0,    3510401,     64.0,     64.0,     64.0,    197.0,  9, 10, 11,  9,    2773865,    2773865,    2773865,    2773865
 0,    2494939,      8.0,      8.0,      8.0,     27.0,  1,  2,  3,  1,    2494939,    2494939,    2494939,    2494939
 0,    2494954,      9.0,      9.0,      9.0,     29.0,  1,  2,  3,  2,    2494954,    2494954,    2494954,    2494954
 0,    3173632,     26.0,     26.0,     26.0,     85.0,  1,  2,  3,  2,    3173632,    3173632,    3173632,    3173632
 0,    3510353,     63.0,     63.0,     63.0,    196.0,  9, 10, 11,  9,    2773852,    2773852,    2773852,    2773852
 1,    1345608,     62.0,     62.0,     62.0,    191.0,  9, 10, 11, 11,    1465227,    1465227,    1465227,    1465227
 1,    1351934,     22.0,     22.0,     22.0,     70.0,  9, 10, 11,  9,    1469329,    1469329,    1469329,    1469329
