 F,      BusId,       PA,       PB,       PC,       P3, XA, XB, XC, X3,       id_A,       id_B,       id_C,       id_3
 0,    2580315,     22.0,     22.0,     22.0,     72.0,  1,  2,  3,  1,    2524230,    2524230,    2524230,    2524230
 0,    2239779,     60.0,     59.0,     59.0,    186.0,  9, 10, 11, 10,    2186677,    2186677,    2186677,    2186677
 0,    2522946,     13.0,     13.0,     13.0,     42.0,  1,  2,  3,  2,    2522946,    2522946,    2522946,    2522946
 0,    1903706,     36.0,     35.0,     36.0,    115.0,  1,  2,  3,  2,    1903976,    1903860,    1903860,    1903900
 0,    2524230,     21.0,     21.0,     21.0,     68.0,  1,  2,  3,  1,    2524230,    2524230,    2524230,    2524230
 0,    1899476,     22.0,     22.0,     22.0,     68.0,  9, 10, 11,  9,    1931587,    1931587,    1931587,    1931587
 0,    1903982,     23.0,     23.0,     23.0,     74.0,  1,  2,  3,  2,    1903982,    1903982,    1903982,    1903982
 0,    1903700,     17.0,     17.0,     17.0,     54.0,  9, 10, 11,  9,    1934377,    1934377,    1934377,    1934377
 0,    1903719,     17.0,     17.0,     17.0,     54.0,  9, 10, 11,  9,    1934391,    1934391,    1934391,    1934391
 0,    1903729,     17.0,     17.0,     17.0,     55.0,  9, 10, 11,  9,    1934394,    1934394,    1934394,    1934394
 0,    2524202,     35.0,     33.0,     34.0,    109.0,  1,  2,  3,  2,    1903705,    1904017,    1904037,    1904017
 0,    2524213,     17.0,     17.0,     17.0,     54.0,  9, 10, 11,  9,    1934407,    1934407,    1934407,    1934407
 0,    1903783,     17.0,     17.0,     17.0,     54.0,  9, 10, 11,  9,    1934417,    1934417,    1934417,    1934417
 0,    1903835,     17.0,     17.0,     17.0,     54.0,  9, 10, 11,  9,    1934471,    1934471,    1934471,    1934471
 0,    1903860,     22.0,     22.0,     22.0,     70.0,  9, 10, 11, 10,    1934493,    1934493,    1934493,    1934493
 0,    1903900,     16.0,     16.0,     16.0,     53.0,  9,  2, 11,  9,    1934516,    1903900,    1934516,    1934516
 0,    1903976,     25.0,     25.0,     25.0,     81.0,  1,  2,  3,  2,    1904037,    1903976,    1904037,    1903976
 0,    1904017,     16.0,     15.0,     16.0,     50.0,  1,  2,  3,  2,    1904017,    1904017,    1904017,    1904017
 0,    1904379,     19.0,     19.0,     19.0,     62.0,  1,  2,  3,  2,    1904379,    1904037,    1904379,    1904379
 0,    1904389,     18.0,     18.0,     18.0,     58.0,  1,  2,  3,  2,    1904384,    1904384,    1904384,    1904384
 0,    1904394,     18.0,     18.0,     18.0,     58.0,  1,  2,  3,  2,    1904384,    1904384,    1904384,    1904384
 0,    2581468,     24.0,     23.0,     24.0,     75.0,  1,  2,  3,  2,    1904037,    1904037,    1904037,    1904379
 0,    1942936,     24.0,     24.0,     24.0,     74.0,  9, 10, 11, 10,    1953787,    1953787,    1953787,    1953787
 0,    1942953,     23.0,     21.0,     22.0,     65.0,  9, 10, 11, 10,    1953791,    1953791,    1953791,    1953791
 0,    1947095,     47.0,     48.0,     47.0,    150.0,  9, 10, 12,  9,    1956452,    1956452,    1956452,    1956452
 0,    2372207,     41.0,     41.0,     41.0,    133.0,  1,  2,  3,  1,    2372207,    2372207,    2372207,    2372207
 0,    2189612,     41.0,     41.0,     41.0,    132.0,  1,  2,  3,  1,    2189612,    2189612,    2189612,    2189612
 0,    2239774,     18.0,     18.0,     18.0,     55.0,  9, 10, 11,  9,    2186663,    2186663,    2186663,    2186663
 0,    2524115,     18.0,     18.0,     18.0,     56.0,  9, 10, 11,  9,    2371370,    2371370,    2371370,    2371370
 0,    2580580,     17.0,     17.0,     17.0,     54.0,  9, 10, 11,  9,    2186669,    2186669,    2186669,    2186669
 0,    2239803,     18.0,     18.0,     17.0,     53.0,  9, 10, 11, 11,    2186672,    2186672,    2186672,    2186672
 0,    2475650,     22.0,     21.0,     22.0,     69.0,  9, 10, 11, 10,    2338808,    2338808,    2338808,    2338808
 0,    2239793,     17.0,     17.0,     17.0,     54.0,  9, 10, 11,  9,    2186669,    2186669,    2186669,    2186669
 0,    2524139,     17.0,     17.0,     17.0,     54.0,  9, 10, 11,  9,    2371378,    2371378,    2371378,    2371378
 0,    2578521,     45.0,     43.0,     45.0,    141.0,  1,  2,  3,  2,    1903685,    1903860,    1903685,    1904017
 0,    1903690,     17.0,     17.0,     17.0,     55.0,  9, 10, 11,  9,    1934372,    1934372,    1934372,    1934372
 0,    1903695,     41.0,     39.0,     41.0,    129.0,  1,  2,  3,  2,    1903695,    1904017,    1903695,    1903900
 0,    3525454,     16.0,     15.0,     16.0,     51.0,  1,  2,  3,  2,    3525454,    3525454,    3525454,    3525454
 0,    1903920,     17.0,     17.0,     17.0,     54.0,  9, 10, 11,  9,    1934522,    1934522,    1934522,    1934522
 0,    2579147,     55.0,     55.0,     55.0,    171.0,  9, 10, 11,  9,    2186681,    2186681,    2186681,    2186681
