 F,      BusId,       PA,       PB,       PC,       P3, XA, XB, XC, X3,       id_A,       id_B,       id_C,       id_3
 0,    2580785,     33.0,     32.0,     31.0,     97.0,  9, 10, 11, 11,    2404993,    2404993,    2404993,    2404993
 0,    1684778,     32.0,     31.0,     30.0,     96.0,  9, 10, 11, 11,    2404993,    2404993,    2404993,    2404993
 0,    2580825,     30.0,     30.0,     29.0,     93.0,  1,  2,  3,  3,    2580825,      43721,      43721,      43721
 0,    2580852,     71.0,     70.0,     70.0,    213.0,  9, 10, 11, 11,    2400351,    2400351,    2400351,    2400351
 0,    2571402,     59.0,     57.0,     57.0,    179.0,  9, 10, 11, 11,      78745,      78745,      78745,      78745
 0,      43721,     28.0,     28.0,     26.0,     85.0,  1,  2,  3,  3,      43721,      43721,      43721,      43721
 0,    2519352,     49.0,     49.0,     49.0,    151.0,  9, 10, 11,  9,    2366563,    2366563,    2366563,    2366563
 0,    2519344,     48.0,     48.0,     48.0,    149.0,  9, 10, 11, 11,    2366557,    2366557,    2366557,    2366557
 0,    2581210,     65.0,     70.0,     69.0,    201.0,  9, 10, 11,  9,    2405003,    2405003,    2405003,    2405003
 0,    1238370,     41.0,     42.0,     42.0,    131.0,  9, 10, 11,  9,    2405161,    2405161,    2405161,    2405161
 0,    1238396,     42.0,     43.0,     43.0,    132.0,  9, 10, 11,  9,    2405161,    2405161,    2405161,    2405161
 0,    1238408,     42.0,     43.0,     43.0,    133.0,  9, 10, 11,  9,    2405161,    2405161,    2405161,    2405161
 0,    2580005,     68.0,     65.0,     67.0,    205.0,  9, 10, 11, 10,    2366551,    2366551,    2366551,    2366551
 0,    2580014,     69.0,     66.0,     68.0,    206.0,  9, 10, 11, 10,    2366551,    2366551,    2366551,    2366551
 0,    2580025,     69.0,     67.0,     68.0,    207.0,  9, 10, 11, 10,    2366551,    2366551,    2366551,    2366551
 0,    2519413,     47.0,     47.0,     48.0,    149.0,  9, 10, 11,  9,    2366602,    2366602,    2366602,    2366602
 0,    2519645,     48.0,     49.0,     49.0,    149.0,  9, 10, 11,  9,    2366707,    2366707,    2366707,    2366707
 0,    2580830,     64.0,     69.0,     67.0,    200.0,  9, 10, 11,  9,    2405003,    2405003,    2405003,    2405003
 0,    2580839,     64.0,     69.0,     68.0,    200.0,  9, 10, 11,  9,    2405003,    2405003,    2405003,    2405003
 0,    2580856,     66.0,     71.0,     70.0,    203.0,  9, 10, 11,  9,    2405003,    2405003,    2405003,    2405003
 0,    2580866,     67.0,     72.0,     71.0,    204.0,  9, 10, 11,  9,    2405003,    2405003,    2405003,    2405003
 0,    2580876,     68.0,     73.0,     72.0,    205.0,  9, 10, 11,  9,    2405003,    2405003,    2405003,    2405003
 0,    2581398,     70.0,     68.0,     69.0,    208.0,  9, 10, 11, 10,    2366551,    2366551,    2366551,    2366551
 0,    2528394,     35.0,     34.0,     34.0,    106.0,  9, 10, 11, 11,    2374945,    2374945,    2374945,    2374945
 0,    2581498,     43.0,     44.0,     44.0,    134.0,  9, 10, 11,  9,    2405161,    2405161,    2405161,    2405161
 0,    2579119,     43.0,     44.0,     44.0,    134.0,  9, 10, 11,  9,    2405161,    2405161,    2405161,    2405161
 1,    2580785,     33.0,     32.0,     32.0,    100.0,  9, 10, 11, 11,    2404993,    2404993,    2404993,    2404993
 1,    1684778,     32.0,     32.0,     31.0,     98.0,  9, 10, 11, 11,    2404993,    1755043,    1755043,    2404993
 1,    2580825,     31.0,     30.0,     29.0,     96.0,  1,  2,  3,  3,      43721,      43721,      43721,      43721
 1,    2580852,     72.0,     70.0,     71.0,    212.0,  9, 10, 11, 10,    2400351,    2400351,    2400351,    2400351
 1,    2571402,     59.0,     57.0,     58.0,    178.0,  9, 10, 11, 10,      78745,      78745,      78745,      78745
 1,      43721,     28.0,     28.0,     27.0,     88.0,  1,  2,  3,  3,      43721,      43721,      43721,      43721
 1,    2519352,     49.0,     49.0,     49.0,    151.0,  9, 10, 11, 10,    2366563,    2366563,    2366563,    2366563
 1,    2519344,     48.0,     48.0,     48.0,    149.0,  9, 10, 11, 10,    2366557,    2366557,    2366557,    2366557
 1,    2581210,     64.0,     70.0,     70.0,    199.0,  9, 10, 11,  9,    2405003,    2405003,    2405003,    2405003
 1,    1238370,     42.0,     43.0,     43.0,    135.0,  9, 10, 11,  9,    2405161,    2405161,    2405161,    2405161
 1,    1238396,     44.0,     44.0,     44.0,    137.0,  9, 10, 11,  9,    2405161,    2405161,    2405161,    2405161
 1,    1238408,     44.0,     44.0,     44.0,    137.0,  9, 10, 11,  9,    2405161,    2405161,    2405161,    2405161
 1,    2580005,     68.0,     65.0,     68.0,    203.0,  9, 10, 11, 10,    2366551,    2366551,    2366551,    2366551
 1,    2580014,     69.0,     66.0,     68.0,    204.0,  9, 10, 11, 10,    2366551,    2366551,    2366551,    2366551
 1,    2580025,     70.0,     66.0,     69.0,    205.0,  9, 10, 11, 10,    2366551,    2366551,    2366551,    2366551
 1,    2519413,     47.0,     47.0,     48.0,    149.0,  9, 10, 11,  9,    2366602,    2366602,    2366602,    2366602
 1,    2519645,     48.0,     49.0,     49.0,    149.0,  9, 10, 11,  9,    2366707,    2366707,    2366707,    2366707
