 F,      BusId,       PA,       PB,       PC,       P3, XA, XB, XC, X3,       id_A,       id_B,       id_C,       id_3
 0,    1664254,     66.0,     66.0,     66.0,    199.0,  9, 10, 11,  9,    1738348,    1738348,    1738348,    1738348
 0,    2581259,     46.0,     46.0,     46.0,    145.0,  9, 10, 11,  9,      77901,      77901,      77901,      77901
 0,    1312425,     34.0,     35.0,     30.0,     96.0,  9, 10, 11, 11,      77970,      77970,      77970,      77970
 0,    2581658,     47.0,     47.0,     36.0,    109.0,  9, 10, 11, 11,    2672003,    2672003,    2672003,    2672003
 0,    3453865,     47.0,     42.0,     48.0,    130.0,  9, 10, 11, 10,      78009,      78009,      78009,      78009
 0,    2527159,     18.0,     18.0,     18.0,     56.0,  9, 10, 11,  9,    2373784,    2373784,    2373784,    2373784
 0,     113169,     34.0,     35.0,     30.0,     95.0,  9, 10, 11, 11,      77970,      77970,      77970,      77970
 0,    2579537,     34.0,     35.0,     30.0,     96.0,  9, 10, 11, 11,      77970,      77970,      77970,      77970
 0,    3502807,     47.0,     47.0,     47.0,    147.0,  9, 10, 11,  9,      77901,      77901,      77901,      77901
 0,    1118354,     34.0,     35.0,     30.0,     95.0,  9, 10, 11, 11,      77970,      77970,      77970,      77970
 0,    1118359,     34.0,     35.0,     30.0,     95.0,  9, 10, 11, 11,      77970,      77970,      77970,      77970
 0,      43372,     34.0,     35.0,     30.0,     96.0,  9, 10, 11, 11,      77970,      77970,      77970,      77970
 0,      43371,     34.0,     35.0,     30.0,     96.0,  9, 10, 11, 11,      77970,      77970,      77970,      77970
 0,    1570630,     23.0,     23.0,     23.0,     72.0,  9, 10, 11,  9,    1454537,    1454537,    1454537,    1454537
 0,    3530538,     46.0,     46.0,     46.0,    145.0,  9, 10, 11, 11,      77901,      77901,      77901,      77901
 0,    2036475,     65.0,     65.0,     65.0,    198.0,  9, 10, 11,  9,    2035846,    2035846,    2035846,    2035846
 0,    2036470,     64.0,     64.0,     64.0,    197.0,  9, 10, 11,  9,    2035835,    2035835,    2035835,    2035835
 0,      43347,     35.0,     37.0,     32.0,     98.0,  9, 10, 11, 11,      77970,      77970,      77970,      77970
 0,      43346,     36.0,     37.0,     32.0,     98.0,  9, 10, 11, 11,      77970,      77970,      77970,      77970
 0,    2581407,     36.0,     37.0,     32.0,     99.0,  9, 10, 11, 11,      77970,      77970,      77970,      77970
 0,     113159,     36.0,     37.0,     32.0,     99.0,  9, 10, 11, 11,      77970,      77970,      77970,      77970
 0,      43352,     36.0,     37.0,     32.0,     98.0,  9, 10, 11, 11,      77970,      77970,      77970,      77970
 0,    2581458,     35.0,     37.0,     32.0,     98.0,  9, 10, 11, 11,      77970,      77970,      77970,      77970
 0,      43353,     35.0,     36.0,     31.0,     98.0,  9, 10, 11, 11,      77970,      77970,      77970,      77970
 0,      43334,     34.0,     36.0,     30.0,     96.0,  9, 10, 11, 11,      77970,      77970,      77970,      77970
 0,    2581478,     34.0,     35.0,     30.0,     96.0,  9, 10, 11, 11,      77970,      77970,      77970,      77970
 0,    2581509,     34.0,     35.0,     30.0,     96.0,  9, 10, 11, 11,      77970,      77970,      77970,      77970
 0,    2581524,     34.0,     35.0,     30.0,     96.0,  9, 10, 11, 11,      77970,      77970,      77970,      77970
 0,    2581549,     34.0,     35.0,     30.0,     96.0,  9, 10, 11, 11,      77970,      77970,      77970,      77970
 0,      43370,     34.0,     35.0,     30.0,     96.0,  9, 10, 11, 11,      77970,      77970,      77970,      77970
 0,    2581564,     34.0,     35.0,     30.0,     96.0,  9, 10, 11, 11,      77970,      77970,      77970,      77970
 0,      43378,     34.0,     35.0,     30.0,     95.0,  9, 10, 11, 11,      77970,      77970,      77970,      77970
 0,    2529332,     48.0,     48.0,     48.0,    147.0,  9, 10, 11, 11,    2671997,    2671997,    2671997,    2671997
 0,    2581579,     48.0,     48.0,     48.0,    148.0,  9, 10, 11,  9,    2671997,    2671997,    2671997,    2671997
 0,    2581589,     48.0,     49.0,     48.0,    148.0,  9, 10, 11,  9,    2671997,    2671997,    2671997,    2671997
 0,    2581598,     49.0,     49.0,     49.0,    148.0,  9, 10, 11, 11,    2671997,    2671997,    2671997,    2671997
 0,    2581614,     49.0,     49.0,     49.0,    149.0,  9, 10, 11,  9,    2671997,    2671997,    2671997,    2671997
 0,    2538893,     47.0,     47.0,     36.0,    110.0,  9, 10, 11, 11,    2672003,    2672003,    2672003,    2672003
 0,    2581629,     47.0,     47.0,     35.0,    109.0, 12, 10, 11, 11,    2405191,    2672003,    2672003,    2672003
 0,    3454067,     47.0,     47.0,     47.0,    147.0,  9, 10, 11,  9,      77901,      77901,      77901,      77901
 0,    2524859,     23.0,     23.0,     23.0,     73.0,  9, 10, 11,  9,    2371992,    2371992,    2371992,    2371992
 0,      43318,     34.0,     35.0,     30.0,     95.0,  9, 10, 11, 11,      77970,      77970,      77970,      77970
 0,    3418093,     17.0,     17.0,     17.0,     54.0,  9, 10, 11, 10,    2375472,    2375472,    2375472,    2375472
 0,    3418089,     34.0,     35.0,     30.0,     95.0,  9, 10, 11, 11,      77970,      77970,      77970,      77970
 0,    2579434,     46.0,     46.0,     46.0,    145.0,  9, 10, 11,  9,      77901,      77901,      77901,      77901
 0,    2529337,     18.0,     18.0,     18.0,     55.0,  9, 10, 11,  9,    2375487,    2375487,    2375487,    2375487
 0,    2581244,     46.0,     46.0,     46.0,    145.0,  9, 10, 11,  9,      77901,      77901,      77901,      77901
