 F,      BusId,       PA,       PB,       PC,       P3, XA, XB, XC, X3,       id_A,       id_B,       id_C,       id_3
 0,    2580885,     70.0,     70.0,     71.0,    216.0,  9, 10, 11,  9,    2402818,    2402818,    2402818,    2402818
 0,    2578511,     17.0,     17.0,     17.0,     52.0,  9, 10, 11,  9,    2403835,    2403835,    2403835,    2403835
 0,    2578516,     18.0,     18.0,     18.0,     56.0,  9, 10, 11,  9,    2403836,    2403836,    2403836,    2403836
 0,    1639474,     42.0,     40.0,     43.0,    127.0,  9, 10, 11, 10,    1723019,    1723019,    1723017,    1723019
 0,    1639469,     42.0,     40.0,     43.0,    127.0,  9, 10, 11, 10,    1723019,    1723019,    1723019,    1723019
 0,    2519849,     17.0,     17.0,     18.0,     55.0,  9, 10, 11,  9,    2366825,    2366825,    2366825,    2366825
 0,    1639494,     24.0,     24.0,     24.0,     73.0,  9, 10, 11,  9,    1723040,    1723040,    1723040,    1723040
 0,    1639499,     24.0,     24.0,     24.0,     74.0,  9, 10, 11,  9,    1723041,    1723041,    1723041,    1723041
 0,    2577012,     71.0,     71.0,     72.0,    218.0,  9, 10, 11,  9,    2402818,    2402818,    2402818,    2402818
 0,      45654,     69.0,     70.0,     70.0,    216.0,  9, 10, 11,  9,      82765,      82765,      82765,      82765
 0,    2580668,     69.0,     69.0,     68.0,    214.0,  9, 10, 11, 11,    2404952,    2404952,    2404952,    2404952
 0,    2580708,     67.0,     67.0,     67.0,    212.0,  9, 10, 11, 11,    2404952,    2404952,    2404952,    2404952
 0,    2580718,     66.0,     66.0,     65.0,    210.0,  1, 10, 11, 11,      42007,    2404952,    2404952,    2404952
 0,    2580775,     69.0,     69.0,     70.0,    215.0,  9, 10, 11,  9,    2402818,    2402818,    2402818,    2402818
 0,    2537540,     68.0,     68.0,     69.0,    213.0,  9, 10, 11,  9,    2402818,    2402818,    2402818,    2402818
 0,    2578501,     70.0,     71.0,     72.0,    213.0,  9, 10, 11,  9,    2403833,    2403833,    2403833,    2403833
 0,    2580896,     68.0,     69.0,     71.0,    210.0,  9, 10, 11,  9,    2403833,    2403833,    2403833,    2403833
 0,    2580906,     46.0,     47.0,     48.0,    140.0,  9, 10, 11,  9,    2405018,    2405018,    2405018,    2405018
 0,    2580916,     45.0,     47.0,     48.0,    140.0,  9, 10, 11,  9,    2405018,    2405018,    2405018,    2405018
 0,    2580925,     45.0,     46.0,     47.0,    139.0,  9, 10, 11,  9,    2405018,    2405018,    2405018,    2405018
 0,    1639394,     36.0,     35.0,     37.0,    115.0,  1,  2,  3,  2,    1638948,    1638948,    1638948,    1638948
 0,    2519790,     17.0,     17.0,     17.0,     53.0,  9, 10, 11, 10,    2366790,    2366790,    2366790,    2366790
 0,    2519803,     17.0,     17.0,     17.0,     53.0,  9, 10, 11,  9,    2366797,    2366797,    2366797,    2366797
 0,    2519811,     17.0,     17.0,     17.0,     52.0,  9, 10, 11, 10,    2366802,    2366802,    2366802,    2366802
 0,    2519829,     17.0,     17.0,     17.0,     53.0,  9, 10, 11,  9,    2366810,    2366810,    2366810,    2366810
 0,    2519834,     17.0,     17.0,     18.0,     54.0,  9, 10, 11,  9,    2366811,    2366811,    2366811,    2366811
 0,      43727,     17.0,     17.0,     18.0,     54.0,  9, 10, 11, 10,    1722426,    1722426,    1722426,    1722426
 0,    2580993,     41.0,     40.0,     43.0,    127.0,  9, 10, 11, 10,    1723019,    1723019,    1723017,    1723019
 0,    2537545,     18.0,     18.0,     18.0,     56.0,  9, 10, 11,  9,    2381357,    2381357,    2381357,    2381357
 0,    2539023,     22.0,     22.0,     23.0,     71.0,  9, 10, 11,  9,    2382171,    2382171,    2382171,    2382171
 1,    2580885,     71.0,     71.0,     70.0,    216.0,  9, 10, 11, 11,    2402818,    2402818,    2402818,    2402818
 1,    2578511,     18.0,     18.0,     18.0,     56.0,  9, 10, 11,  9,    2403835,    2403835,    2403835,    2403835
 1,    2578516,     18.0,     18.0,     18.0,     56.0,  9, 10, 11,  9,    2403836,    2403836,    2403836,    2403836
 1,    1639474,     42.0,     41.0,     43.0,    130.0,  9, 10, 11, 10,    1723019,    1723019,    1723017,    1723019
 1,    1639469,     42.0,     41.0,     43.0,    130.0,  9, 10, 11, 10,    1723019,    1723019,    1723019,    1723019
 1,    2519849,     17.0,     17.0,     18.0,     55.0,  9, 10, 11,  9,    2366825,    2366825,    2366825,    2366825
 1,    1639494,     24.0,     24.0,     24.0,     73.0,  9, 10, 11,  9,    1723040,    1723040,    1723040,    1723040
 1,    1639499,     24.0,     24.0,     24.0,     74.0,  9, 10, 11,  9,    1723041,    1723041,    1723041,    1723041
 1,    2577012,     72.0,     72.0,     71.0,    218.0,  9, 10, 11, 11,    2402818,    2402818,    2402818,    2402818
 1,      45654,     70.0,     70.0,     70.0,    217.0,  9, 10, 11,  9,      82765,      82765,      82765,      82765
 1,    2580668,     69.0,     69.0,     68.0,    215.0,  9, 10, 11, 11,    2404952,    2404952,    2404952,    2404952
