 F,      BusId,       PA,       PB,       PC,       P3, XA, XB, XC, X3,       id_A,       id_B,       id_C,       id_3
 0,    1016922,     50.0,     51.0,     51.0,    152.0,  9, 10, 11,  9,    1251137,    1251137,    1251137,    1251137
 0,    1017010,     17.0,     17.0,     16.0,     50.0,  9, 10, 11, 11,    1251161,    1251161,    1251161,    1251161
 0,    1017066,     50.0,     50.0,     50.0,    151.0,  9, 10, 11,  9,    1251181,    1251181,    1251181,    1251181
 0,    2036426,     23.0,     22.0,     23.0,     72.0,  9, 10, 11,  9,    2035769,    2035769,    2035769,    2035769
 0,    2577658,     55.0,     54.0,     55.0,    173.0,  9, 10,  3, 10,    1251079,    1251079,      41685,    1251079
 0,    2577678,     56.0,     54.0,     55.0,    174.0,  9, 10, 11, 10,    1251079,    1251079,    1251079,    1251079
 0,    2577704,     57.0,     55.0,     56.0,    175.0,  9, 10, 11, 10,    1251079,    1251079,    1251079,    1251079
 0,    2577720,     57.0,     56.0,     57.0,    176.0,  9, 10, 11, 10,    1251079,    1251079,    1251079,    1251079
 0,    2577743,     58.0,     57.0,     58.0,    177.0,  9, 10, 11, 10,    1251079,    1251079,    1251079,    1251079
 0,    2577753,     59.0,     57.0,     58.0,    178.0,  9, 10, 11, 10,    1251079,    1251079,    1251079,    1251079
 0,    2577763,     59.0,     58.0,     59.0,    179.0,  9, 10, 11, 10,    1251079,    1251079,    1251079,    1251079
 0,    2578469,     61.0,     60.0,     61.0,    182.0,  9, 10, 11, 10,    1251079,    1251079,    1251079,    1251079
 0,    1016927,     51.0,     51.0,     51.0,    155.0,  9, 10, 11,  9,    1251138,    1251138,    1251138,    1251138
 0,    1016937,     50.0,     50.0,     50.0,    153.0,  9, 10, 11, 10,    1251140,    1251140,    1251140,    1251140
 0,    2597384,     23.0,     23.0,     23.0,     72.0,  9, 10, 11,  9,    2413190,    2413190,    2413190,    2413190
 1,    1016922,     51.0,     51.0,     50.0,    154.0,  9, 10, 11,  9,    1251137,    1251137,    1251137,    1251137
 1,    1017010,     17.0,     17.0,     17.0,     53.0,  9, 10, 11,  9,    1251161,    1251161,    1251161,    1251161
 1,    1017066,     50.0,     50.0,     50.0,    151.0,  9, 10, 11,  9,    1251181,    1251181,    1251181,    1251181
 1,    2036426,     23.0,     23.0,     23.0,     72.0,  9, 10, 11,  9,    2035769,    2035769,    2035769,    2035769
 1,    2577658,     55.0,     55.0,     55.0,    176.0,  9,  2, 11, 10,    1251079,      41685,    1251079,    1251079
 1,    2577678,     56.0,     55.0,     55.0,    177.0,  9, 10, 11, 10,    1251079,    1251079,    1251079,    1251079
 1,    2577704,     57.0,     56.0,     57.0,    179.0,  9, 10, 11, 10,    1251079,    1251079,    1251079,    1251079
 1,    2577720,     58.0,     57.0,     57.0,    180.0,  9, 10, 11, 10,    1251079,    1251079,    1251079,    1251079
 1,    2577743,     58.0,     58.0,     58.0,    181.0,  9, 10, 11, 10,    1251079,    1251079,    1251079,    1251079
 1,    2577753,     59.0,     58.0,     59.0,    182.0,  9, 10, 11, 10,    1251079,    1251079,    1251079,    1251079
 1,    2577763,     60.0,     59.0,     59.0,    183.0,  9, 10, 11, 10,    1251079,    1251079,    1251079,    1251079
 1,    2578469,     61.0,     61.0,     61.0,    186.0,  9, 10, 11, 10,    1251079,    1251079,    1251079,    1251079
 1,    1016927,     51.0,     51.0,     51.0,    155.0,  9, 10, 11,  9,    1251138,    1251138,    1251138,    1251138
 1,    1016937,     50.0,     49.0,     50.0,    152.0,  9, 10, 11, 10,    1251140,    1251140,    1251140,    1251140
 1,    2597384,     23.0,     23.0,     23.0,     72.0,  9, 10, 11,  9,    2413190,    2413190,    2413190,    2413190
 2,    1016922,     51.0,     51.0,     50.0,    154.0,  9, 10, 11,  9,    1251137,    1251137,    1251137,    1251137
 2,    1017010,     17.0,     17.0,     17.0,     53.0,  9, 10, 11,  9,    1251161,    1251161,    1251161,    1251161
 2,    1017066,     50.0,     50.0,     50.0,    151.0,  9, 10, 11,  9,    1251181,    1251181,    1251181,    1251181
 2,    2036426,     23.0,     23.0,     23.0,     72.0,  9, 10, 11,  9,    2035769,    2035769,    2035769,    2035769
 2,    2577658,     55.0,     55.0,     55.0,    176.0,  9,  2,  3, 10,    1251079,      41685,      41685,    1251079
 2,    2577678,     56.0,     55.0,     55.0,    177.0,  9, 10, 11, 10,    1251079,    1251079,    1251079,    1251079
 2,    2577704,     57.0,     56.0,     56.0,    179.0,  9, 10, 11, 10,    1251079,    1251079,    1251079,    1251079
 2,    2577720,     57.0,     57.0,     57.0,    180.0,  9, 10, 11, 10,    1251079,    1251079,    1251079,    1251079
 2,    2577743,     58.0,     58.0,     58.0,    181.0,  9, 10, 11, 10,    1251079,    1251079,    1251079,    1251079
 2,    2577753,     59.0,     58.0,     58.0,    182.0,  9, 10, 11, 10,    1251079,    1251079,    1251079,    1251079
 2,    2577763,     59.0,     59.0,     59.0,    183.0,  9, 10, 11, 10,    1251079,    1251079,    1251079,    1251079
 2,    2578469,     61.0,     61.0,     61.0,    186.0,  9, 10, 11, 10,    1251079,    1251079,    1251079,    1251079
 2,    1016927,     51.0,     51.0,     51.0,    155.0,  9, 10, 11, 10,    1251138,    1251138,    1251138,    1251138
 2,    1016937,     50.0,     50.0,     50.0,    153.0,  9, 10, 11, 10,    1251140,    1251140,    1251140,    1251140
 2,    2597384,     23.0,     23.0,     23.0,     72.0,  9, 10, 11,  9,    2413190,    2413190,    2413190,    2413190
 3,    1016922,     51.0,     51.0,     51.0,    154.0,  9, 10, 11,  9,    1251137,    1251137,    1251137,    1251137
 3,    1017010,     17.0,     17.0,     17.0,     53.0,  9, 10, 11,  9,    1251161,    1251161,    1251161,    1251161
 3,    1017066,     50.0,     50.0,     50.0,    151.0,  9, 10, 11,  9,    1251181,    1251181,    1251181,    1251181
 3,    2036426,     23.0,     23.0,     23.0,     72.0,  9, 10, 11,  9,    2035769,    2035769,    2035769,    2035769
 3,    2577658,     55.0,     55.0,     55.0,    177.0,  9,  2, 11,  9,    1251079,    1016605,    1251079,    1251079
 3,    2577678,     55.0,     56.0,     56.0,    178.0,  9, 10, 11,  9,    1251079,    1251079,    1251079,    1251079
 3,    2577704,     56.0,     57.0,     57.0,    179.0,  9, 10, 11,  9,    1251079,    1251079,    1251079,    1251079
 3,    2577720,     57.0,     58.0,     58.0,    180.0,  9, 10, 11,  9,    1251079,    1251079,    1251079,    1251079
 3,    2577743,     58.0,     58.0,     58.0,    181.0,  9, 10, 11,  9,    1251079,    1251079,    1251079,    1251079
 3,    2577753,     59.0,     59.0,     59.0,    182.0,  9, 10, 11,  9,    1251079,    1251079,    1251079,    1251079
 3,    2577763,     59.0,     60.0,     60.0,    183.0,  9, 10, 11,  9,    1251079,    1251079,    1251079,    1251079
 3,    2578469,     61.0,     62.0,     62.0,    186.0,  9, 10, 11,  9,    1251079,    1251079,    1251079,    1251079
 3,    1016927,     51.0,     51.0,     51.0,    155.0,  9, 10, 11, 10,    1251138,    1251138,    1251138,    1251138
 3,    1016937,     50.0,     50.0,     50.0,    153.0,  9, 10, 11,  9,    1251140,    1251140,    1251140,    1251140
 3,    2597384,     23.0,     23.0,     23.0,     72.0,  9, 10, 11,  9,    2413190,    2413190,    2413190,    2413190
 4,    1016922,     51.0,     51.0,     50.0,    154.0,  9, 10, 11,  9,    1251137,    1251137,    1251137,    1251137
 4,    1017010,     17.0,     17.0,     17.0,     53.0,  9, 10, 11, 10,    1251161,    1251161,    1251161,    1251161
 4,    1017066,     50.0,     50.0,     50.0,    151.0,  9, 10, 11,  9,    1251181,    1251181,    1251181,    1251181
 4,    2036426,     23.0,     23.0,     23.0,     72.0,  9, 10, 11,  9,    2035769,    2035769,    2035769,    2035769
 4,    2577658,     55.0,     55.0,     55.0,    178.0,  9, 10, 11,  9,    1251079,    1251079,    1251079,    1251079
 4,    2577678,     56.0,     56.0,     56.0,    179.0,  9, 10, 11,  9,    1251079,    1251079,    1251079,    1251079
 4,    2577704,     57.0,     57.0,     57.0,    180.0,  9, 10, 11,  9,    1251079,    1251079,    1251079,    1251079
 4,    2577720,     58.0,     58.0,     58.0,    181.0,  9, 10, 11,  9,    1251079,    1251079,    1251079,    1251079
 4,    2577743,     58.0,     59.0,     58.0,    182.0,  9, 10, 11,  9,    1251079,    1251079,    1251079,    1251079
 4,    2577753,     59.0,     59.0,     59.0,    183.0,  9, 10, 11,  9,    1251079,    1251079,    1251079,    1251079
 4,    2577763,     60.0,     60.0,     60.0,    184.0,  9, 10, 11,  9,    1251079,    1251079,    1251079,    1251079
 4,    2578469,     62.0,     62.0,     62.0,    187.0,  9, 10, 11,  9,    1251079,    1251079,    1251079,    1251079
 4,    1016927,     51.0,     51.0,     51.0,    155.0,  9, 10, 11, 10,    1251138,    1251138,    1251138,    1251138
 4,    1016937,     50.0,     50.0,     50.0,    153.0,  9, 10, 11, 10,    1251140,    1251140,    1251140,    1251140
 4,    2597384,     23.0,     23.0,     23.0,     72.0,  9, 10, 11,  9,    2413190,    2413190,    2413190,    2413190
 5,    1016922,     51.0,     51.0,     51.0,    154.0,  9, 10, 11,  9,    1251137,    1251137,    1251137,    1251137
 5,    1017010,     17.0,     17.0,     17.0,     53.0,  9, 10, 11,  9,    1251161,    1251161,    1251161,    1251161
 5,    1017066,     50.0,     50.0,     50.0,    151.0,  9, 10, 11,  9,    1251181,    1251181,    1251181,    1251181
 5,    2036426,     23.0,     23.0,     23.0,     72.0,  9, 10, 11,  9,    2035769,    2035769,    2035769,    2035769
 5,    2577658,     56.0,     55.0,     55.0,    178.0,  1,  2, 11, 10,      41685,    1016605,    1251079,    1251079
 5,    2577678,     56.0,     56.0,     56.0,    178.0,  9, 10, 11, 10,    1251079,    1251079,    1251079,    1251079
 5,    2577704,     57.0,     57.0,     57.0,    180.0,  9, 10, 11, 10,    1251079,    1251079,    1251079,    1251079
 5,    2577720,     58.0,     58.0,     58.0,    181.0,  9, 10, 11, 10,    1251079,    1251079,    1251079,    1251079
 5,    2577743,     59.0,     58.0,     58.0,    182.0,  9, 10, 11, 10,    1251079,    1251079,    1251079,    1251079
 5,    2577753,     59.0,     59.0,     59.0,    183.0,  9, 10, 11, 10,    1251079,    1251079,    1251079,    1251079
 5,    2577763,     60.0,     60.0,     60.0,    184.0,  9, 10, 11, 10,    1251079,    1251079,    1251079,    1251079
 5,    2578469,     62.0,     62.0,     62.0,    187.0,  9, 10, 11, 10,    1251079,    1251079,    1251079,    1251079
 5,    1016927,     51.0,     51.0,     51.0,    155.0,  9, 10, 11, 10,    1251138,    1251138,    1251138,    1251138
 5,    1016937,     50.0,     50.0,     50.0,    153.0,  9, 10, 11, 10,    1251140,    1251140,    1251140,    1251140
 5,    2597384,     23.0,     23.0,     23.0,     72.0,  9, 10, 11,  9,    2413190,    2413190,    2413190,    2413190
 6,    1016922,     51.0,     51.0,     51.0,    154.0,  9, 10, 11, 11,    1251137,    1251137,    1251137,    1251137
 6,    1017010,     17.0,     17.0,     17.0,     53.0,  9, 10, 11,  9,    1251161,    1251161,    1251161,    1251161
 6,    1017066,     50.0,     50.0,     50.0,    151.0,  9, 10, 11,  9,    1251181,    1251181,    1251181,    1251181
 6,    2036426,     23.0,     23.0,     23.0,     72.0,  9, 10, 11,  9,    2035769,    2035769,    2035769,    2035769
 6,    2577658,     56.0,     55.0,     55.0,    176.0,  1, 10, 11, 11,      41685,    1251079,    1251079,    1251079
 6,    2577678,     56.0,     56.0,     55.0,    177.0,  9, 10, 11, 11,    1251079,    1251079,    1251079,    1251079
 6,    2577704,     57.0,     57.0,     56.0,    178.0,  9, 10, 11, 11,    1251079,    1251079,    1251079,    1251079
 6,    2577720,     58.0,     58.0,     57.0,    179.0,  9, 10, 11, 11,    1251079,    1251079,    1251079,    1251079
 6,    2577743,     59.0,     58.0,     58.0,    181.0,  9, 10, 11, 11,    1251079,    1251079,    1251079,    1251079
 6,    2577753,     59.0,     59.0,     58.0,    182.0,  9, 10, 11, 11,    1251079,    1251079,    1251079,    1251079
 6,    2577763,     60.0,     60.0,     59.0,    183.0,  9, 10, 11, 11,    1251079,    1251079,    1251079,    1251079
 6,    2578469,     62.0,     62.0,     61.0,    186.0,  9, 10, 11, 11,    1251079,    1251079,    1251079,    1251079
 6,    1016927,     51.0,     51.0,     51.0,    155.0,  9, 10, 11, 10,    1251138,    1251138,    1251138,    1251138
 6,    1016937,     50.0,     50.0,     50.0,    153.0,  9, 10, 11, 10,    1251140,    1251140,    1251140,    1251140
 6,    2597384,     23.0,     23.0,     23.0,     73.0,  9, 10, 11,  9,    2413190,    2413190,    2413190,    2413190
 7,    1016922,     51.0,     51.0,     51.0,    154.0,  9, 10, 11,  9,    1251137,    1251137,    1251137,    1251137
 7,    1017010,     17.0,     17.0,     17.0,     53.0,  9, 10, 11, 10,    1251161,    1251161,    1251161,    1251161
 7,    1017066,     50.0,     50.0,     50.0,    150.0,  9, 10, 11,  9,    1251181,    1251181,    1251181,    1251181
 7,    2036426,     23.0,     23.0,     23.0,     72.0,  9, 10, 11,  9,    2035769,    2035769,    2035769,    2035769
 7,    2577658,     54.0,     54.0,     54.0,    172.0,  9, 10, 11,  9,    1251079,    1251079,    1251079,    1251079
 7,    2577678,     54.0,     55.0,     54.0,    173.0,  9, 10, 11,  9,    1251079,    1251079,    1251079,    1251079
 7,    2577704,     55.0,     56.0,     55.0,    175.0,  9, 10, 11,  9,    1251079,    1251079,    1251079,    1251079
 7,    2577720,     56.0,     56.0,     56.0,    176.0,  9, 10, 11,  9,    1251079,    1251079,    1251079,    1251079
 7,    2577743,     56.0,     57.0,     57.0,    177.0,  9, 10, 11,  9,    1251079,    1251079,    1251079,    1251079
 7,    2577753,     57.0,     58.0,     57.0,    178.0,  9, 10, 11,  9,    1251079,    1251079,    1251079,    1251079
 7,    2577763,     58.0,     58.0,     58.0,    179.0,  9, 10, 11,  9,    1251079,    1251079,    1251079,    1251079
 7,    2578469,     60.0,     60.0,     60.0,    182.0,  9, 10, 11,  9,    1251079,    1251079,    1251079,    1251079
 7,    1016927,     51.0,     51.0,     51.0,    155.0,  9, 10, 11,  9,    1251138,    1251138,    1251138,    1251138
 7,    1016937,     50.0,     49.0,     50.0,    150.0,  9, 10, 11, 10,    1251140,    1251140,    1251140,    1251140
 7,    2597384,     23.0,     23.0,     23.0,     73.0,  9, 10, 11,  9,    2413190,    2413190,    2413190,    2413190
 8,    1016922,     51.0,     50.0,     51.0,    151.0,  9, 10, 11, 10,    1251137,    1251137,    1251137,    1251137
 8,    1017010,     18.0,     17.0,     16.0,     51.0,  9, 10, 11, 11,    1251161,    1251161,    1251161,    1251161
 8,    1017066,     50.0,     50.0,     50.0,    151.0,  9, 10, 11,  9,    1251181,    1251181,    1251181,    1251181
 8,    2036426,     23.0,     22.0,     22.0,     72.0,  9, 10, 11,  9,    2035769,    2035769,    2035769,    2035769
 8,    2577658,     54.0,     53.0,     51.0,    165.0,  9, 10, 11, 11,    1251079,    1251079,    1251079,    1251079
 8,    2577678,     55.0,     53.0,     52.0,    165.0,  9, 10, 11, 11,    1251079,    1251079,    1251079,    1251079
 8,    2577704,     56.0,     54.0,     53.0,    167.0,  9, 10, 11, 11,    1251079,    1251079,    1251079,    1251079
 8,    2577720,     57.0,     55.0,     53.0,    168.0,  9, 10, 11, 11,    1251079,    1251079,    1251079,    1251079
 8,    2577743,     57.0,     56.0,     54.0,    169.0,  9, 10, 11, 11,    1251079,    1251079,    1251079,    1251079
 8,    2577753,     58.0,     56.0,     55.0,    170.0,  9, 10, 11, 11,    1251079,    1251079,    1251079,    1251079
 8,    2577763,     59.0,     57.0,     55.0,    171.0,  9, 10, 11, 11,    1251079,    1251079,    1251079,    1251079
 8,    2578469,     60.0,     59.0,     57.0,    174.0,  9, 10, 11, 11,    1251079,    1251079,    1251079,    1251079
 8,    1016927,     51.0,     51.0,     51.0,    155.0,  9, 10, 11,  9,    1251138,    1251138,    1251138,    1251138
 8,    1016937,     50.0,     49.0,     49.0,    151.0,  9, 10, 11, 10,    1251140,    1251140,    1251140,    1251140
