 F,      BusId,       PA,       PB,       PC,       P3, XA, XB, XC, X3,       id_A,       id_B,       id_C,       id_3
 0,    2580040,     21.0,     21.0,     20.0,     65.0,  1,  2,  3,  3,    2450739,    2450739,    2450739,    2450739
 0,    2452063,     21.0,     21.0,     20.0,     67.0,  1,  2,  3,  3,    2450739,    2450739,    2450739,    2450739
 0,    2452073,     17.0,     17.0,     17.0,     53.0,  9, 10, 11, 11,    2323390,    2323390,    2323390,    2323390
 0,    2452050,     22.0,     22.0,     21.0,     69.0,  1,  2,  3,  3,    2450739,    2450739,    2450739,    2450739
 0,    2452060,     17.0,     17.0,     17.0,     54.0,  9, 10, 11,  9,    2323378,    2323378,    2323378,    2323378
 0,    2452047,     23.0,     23.0,     22.0,     71.0,  1,  2,  3,  3,    2450739,    2450739,    2450739,    2452047
 0,    2580069,     24.0,     24.0,     23.0,     75.0,  1,  2,  3,  3,    2450739,    2450739,    2450739,    2450739
 0,    2580079,     24.0,     25.0,     24.0,     77.0,  1,  2,  3,  3,    2450739,    2450739,    2450739,    2450739
 0,    2580089,     26.0,     26.0,     25.0,     80.0,  1,  2,  3,  3,      44547,      44547,      44547,    2450739
 0,    2452019,     26.0,     27.0,     25.0,     83.0,  1,  2,  3,  3,    2452060,      44547,    2450739,      44547
 0,    2452039,     17.0,     17.0,     17.0,     54.0,  9, 10, 11,  9,    2323343,    2323343,    2323343,    2323343
 0,    2580109,     28.0,     28.0,     26.0,     86.0,  1,  2,  3,  3,      44547,      44547,      44547,      44547
 0,    2580119,     30.0,     30.0,     29.0,     94.0,  1,  2,  3,  3,      44547,      44547,      44547,      44547
 0,    2580128,     31.0,     31.0,     30.0,     97.0,  1,  2,  3,  3,      44547,      44547,      44547,      44547
 0,    2580138,     33.0,     33.0,     31.0,    102.0,  1,  2,  3,  3,      44547,      44547,    2450739,      44547
 0,    2580148,     32.0,     32.0,     31.0,    100.0,  1,  2,  3,  3,      44547,      44547,      44547,      44547
 0,    2580159,     36.0,     36.0,     35.0,    113.0,  1,  2,  3,  3,      44547,      44547,      44547,      44547
 0,    2580169,     38.0,     38.0,     36.0,    117.0,  1,  2,  3,  3,      44547,      44547,      44547,      44547
 0,    2580179,     38.0,     38.0,     36.0,    119.0,  1,  2,  3,  3,      44547,      44547,    2450739,      44547
 0,    2580188,     40.0,     40.0,     39.0,    125.0,  1,  2,  3,  3,      44547,      44547,      44547,      44547
 0,    2580198,     27.0,     28.0,     27.0,     86.0,  9, 10, 11, 11,      80604,      80604,      80604,      80604
 0,    2451047,     17.0,     17.0,     17.0,     54.0,  9, 10, 11, 11,    2322883,    2322883,    2322883,    2322883
 0,    2451042,     27.0,     28.0,     27.0,     86.0,  9, 10, 11,  9,      80604,      80604,      80604,      80604
 0,      44549,     27.0,     27.0,     27.0,     85.0,  9, 10, 11, 11,      80604,      80604,      80604,      80604
 0,    2580229,     41.0,     42.0,     40.0,    126.0,  9, 10, 11, 11,    2322859,    2322859,    2322859,    2322859
 0,    2451029,     42.0,     42.0,     40.0,    127.0,  9, 10, 11, 11,    2322859,    2322859,    2322859,    2322859
 0,    2451039,     18.0,     18.0,     17.0,     54.0,  9, 10, 11, 11,    2322879,    2322879,    2322879,    2322879
 0,    2451006,     42.0,     42.0,     40.0,    127.0,  9, 10, 11, 11,    2322859,    2322859,    2322859,    2322859
 0,    2451021,     18.0,     18.0,     18.0,     55.0,  9, 10, 11,  9,    2322870,    2322870,    2322870,    2322870
 0,    2580357,     42.0,     43.0,     41.0,    128.0,  9, 10, 11, 11,    2404826,    2404826,    2404826,    2404826
 0,    2580365,     44.0,     44.0,     44.0,    138.0,  9, 10, 11, 10,    2404828,    2404828,    2404828,    2404828
 0,    2450965,     44.0,     44.0,     44.0,    138.0,  9, 10, 11,  9,      80616,      80616,      80616,      80616
 0,    2450985,     18.0,     18.0,     18.0,     55.0,  9, 10, 11, 10,    2322849,    2322849,    2322849,    2322849
 0,    2580388,     45.0,     45.0,     45.0,    139.0,  9, 10, 11,  9,    2323619,    2323619,    2323619,    2323619
 0,      44554,     27.0,     26.0,     27.0,     84.0,  9, 10, 11, 10,      80622,      80622,      80622,      80622
 0,      44553,     27.0,     27.0,     27.0,     85.0,  9, 10, 11, 10,      80622,      80622,      80622,      80622
 0,    2451057,     17.0,     17.0,     17.0,     54.0,  9, 10, 11, 10,    2322886,    2322886,    2322886,    2322886
 0,      44555,     27.0,     26.0,     27.0,     84.0,  9, 10, 11, 10,      80622,      80622,      80622,      80622
 0,    2580419,     28.0,     27.0,     28.0,     86.0,  9, 10, 11, 10,      80622,      80622,      80622,      80622
 0,      44552,     28.0,     27.0,     28.0,     85.0,  9, 10, 11, 10,      80622,      80622,      80622,      80622
 0,    2451077,     18.0,     17.0,     17.0,     54.0,  9, 10, 11, 10,    2322899,    2322899,    2322899,    2322899
 0,      44556,     27.0,     27.0,     27.0,     85.0,  9, 10, 11, 10,      80622,      80622,      80622,      80622
 0,    2580437,     40.0,     40.0,     39.0,    126.0,  9, 10, 11, 11,    2323391,    2323391,    2404868,    2404868
 0,    2452076,     40.0,     40.0,     40.0,    127.0,  9, 10, 11, 11,    2323391,    2323391,    2323391,    2404868
 0,    2452089,     17.0,     18.0,     18.0,     55.0,  9, 10, 11,  9,    2323397,    2323397,    2323397,    2323397
 0,    2452097,     40.0,     40.0,     40.0,    127.0,  9, 10, 11, 11,    2323415,    2323404,    2323404,    2404868
 0,    2452118,     18.0,     18.0,     18.0,     55.0,  9, 10, 11,  9,    2323411,    2323411,    2323411,    2323411
